Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,
97486,Umpqua,Oregon,OR,Douglas,43.3745,-123.5358,
97487,Veneta,Oregon,OR,Lane,44.0382,-123.3516,
97488,Vida,Oregon,OR,Lane,44.13,-122.5044,
97489,Walterville,Oregon,OR,Lane,44.1288,-122.6376,
97490,Walton,Oregon,OR,Lane,44.0282,-123.5893,
97491,Wedderburn,Oregon,OR,Curry,42.6093,-124.3886,
97492,Westfir,Oregon,OR,Lane,43.7575,-122.481,
97493,Westlake,Oregon,OR,Lane,43.914,-124.0334,
97494,Wilbur,Oregon,OR,Douglas,43.3284,-123.3332,
97495,Winchester,Oregon,OR,Douglas,43.2878,-123.3055,
97496,Winston,Oregon,OR,Douglas,43.1049,-123.4325,
97497,Wolf Creek,Oregon,OR,Josephine,42.6522,-123.425,
97498,Yachats,Oregon,OR,Lincoln,44.3256,-124.0863,
97499,Yoncalla,Oregon,OR,Douglas,43.6043,-123.2926,
97501,Medford,Oregon,OR,Jackson,42.2818,-122.9054,
97502,Central Point,Oregon,OR,Jackson,42.3899,-122.9222,
97503,White City,Oregon,OR,Jackson,42.4319,-122.8296,
97504,Medford,Oregon,OR,Jackson,42.3363,-122.8398,
97520,Ashland,Oregon,OR,Jackson,42.1885,-122.693,
97522,Butte Falls,Oregon,OR,Jackson,42.5492,-122.5638,
97523,Cave Junction,Oregon,OR,Josephine,42.1348,-123.6272,
97524,Eagle Point,Oregon,OR,Jackson,42.4935,-122.8088,
97525,Gold Hill,Oregon,OR,Jackson,42.4244,-123.0854,
97526,Grants Pass,Oregon,OR,Josephine,42.4638,-123.3457,
97527,Grants Pass,Oregon,OR,Josephine,42.3989,-123.3538,
97528,Grants Pass,Oregon,OR,Josephine,42.3964,-123.535,
97530,Jacksonville,Oregon,OR,Jackson,42.1813,-123.0241,
97531,Kerby,Oregon,OR,Josephine,42.2093,-123.6573,
97532,Merlin,Oregon,OR,Josephine,42.5297,-123.4393,
97533,Murphy,Oregon,OR,Josephine,42.308,-123.3273,
97534,O Brien,Oregon,OR,Josephine,42.0879,-123.689,
97535,Phoenix,Oregon,OR,Jackson,42.2766,-122.8227,
97536,Prospect,Oregon,OR,Jackson,42.7544,-122.509,
97537,Rogue River,Oregon,OR,Jackson,42.4889,-123.1587,
97538,Selma,Oregon,OR,Josephine,42.2654,-123.5515,
97539,Shady Cove,Oregon,OR,Jackson,42.6212,-122.7561,
97540,Talent,Oregon,OR,Jackson,42.2363,-122.786,
97541,Trail,Oregon,OR,Jackson,42.6864,-122.816,
97543,Wilderville,Oregon,OR,Josephine,42.3751,-123.5621,
97544,Williams,Oregon,OR,Josephine,42.223,-123.2829,
97601,Klamath Falls,Oregon,OR,Klamath,42.2933,-121.8169,
97602,Klamath Falls,Oregon,OR,Klamath,42.805,-121.5848,
97603,Klamath Falls,Oregon,OR,Klamath,42.1919,-121.7241,
97604,Crater Lake,Oregon,OR,Klamath,42.9465,-122.1769,
97620,Adel,Oregon,OR,Lake,42.1487,-119.8833,
97621,Beatty,Oregon,OR,Klamath,42.4369,-121.22,
97622,Bly,Oregon,OR,Klamath,42.3995,-121.0806,
97623,Bonanza,Oregon,OR,Klamath,42.2463,-121.3336,
97624,Chiloquin,Oregon,OR,Klamath,42.5463,-121.745,
97625,Dairy,Oregon,OR,Klamath,42.291,-121.5078,
97626,Fort Klamath,Oregon,OR,Klamath,42.6415,-122.038,
97627,Keno,Oregon,OR,Klamath,42.1194,-122.0081,
97630,Lakeview,Oregon,OR,Lake,42.1854,-120.3775,
97632,Malin,Oregon,OR,Klamath,42.0195,-121.4221,
97633,Merrill,Oregon,OR,Klamath,42.0295,-121.5985,
97634,Midland,Oregon,OR,Klamath,42.1284,-121.871,
97635,New Pine Creek,Oregon,OR,Lake,42.0278,-120.2894,
97636,Paisley,Oregon,OR,Lake,42.7031,-120.5532,
97637,Plush,Oregon,OR,Lake,42.5035,-119.8947,
97638,Silver Lake,Oregon,OR,Lake,43.1395,-120.9984,
97639,Sprague River,Oregon,OR,Klamath,42.4514,-121.4365,
97640,Summer Lake,Oregon,OR,Lake,42.9447,-120.7946,
97641,Christmas Valley,Oregon,OR,Lake,43.1579,-120.7244,
97701,Bend,Oregon,OR,Deschutes,44.0928,-121.2936,
97702,Bend,Oregon,OR,Deschutes,44.0223,-121.2985,
97707,Bend,Oregon,OR,Deschutes,43.8431,-121.5764,
97708,Bend,Oregon,OR,Deschutes,44.0018,-120.9495,
97709,Bend,Oregon,OR,Deschutes,44.0018,-120.9495,
97710,Fields,Oregon,OR,Harney,42.1862,-118.4758,
97711,Ashwood,Oregon,OR,Jefferson,44.7195,-120.7192,
97712,Brothers,Oregon,OR,Deschutes,43.7789,-120.477,
97720,Burns,Oregon,OR,Harney,43.5145,-119.0504,
97721,Princeton,Oregon,OR,Harney,43.0198,-119.0696,
97722,Diamond,Oregon,OR,Harney,42.9508,-118.695,
97730,Camp Sherman,Oregon,OR,Jefferson,44.455,-121.6394,
97731,Chemult,Oregon,OR,Klamath,43.146,-121.7974,
97732,Crane,Oregon,OR,Harney,43.4262,-118.4642,
97733,Crescent,Oregon,OR,Klamath,43.4442,-121.7109,
97734,Culver,Oregon,OR,Jefferson,44.4818,-121.2344,
97735,Fort Rock,Oregon,OR,Lake,42.8053,-120.3553,
97736,Frenchglen,Oregon,OR,Harney,42.7147,-119.0058,
97737,Gilchrist,Oregon,OR,Klamath,43.3725,-121.6583,
97738,Hines,Oregon,OR,Harney,43.5558,-119.0816,
97739,La Pine,Oregon,OR,Deschutes,43.7091,-121.5194,
97740,Lawen,Oregon,OR,Harney,43.0198,-119.0696,
97741,Madras,Oregon,OR,Jefferson,44.6376,-121.1349,
97750,Mitchell,Oregon,OR,Wheeler,44.5657,-120.1456,
97751,Paulina,Oregon,OR,Crook,44.2102,-119.7828,
